,feature_0,feature_1,feature_2,feature_3,feature_4,label
0,-6.065960463086859,-8.222127398259158,7.8430146629687245,2.671263057154315,4.032206769020198,1
1,-8.732379365755174,9.982424098685458,6.841653018726232,-5.720766147958189,-6.637669153041906,2
2,-6.1687855218554,-3.4648831437519623,0.37645088959850037,-2.7649379354546815,-3.3673619795642713,3
3,-11.059331488467148,8.746422498252581,7.506425110087737,-6.327648837158597,-6.452693285558078,2
4,-6.598561798537727,-4.2393959894519195,0.8846971441885,-1.8854244588413713,-4.022911119534193,3
5,1.7418662028892993,-6.874645928030088,-5.072801161196913,-2.0798837515127966,-1.135697197141034,4
6,-6.719227507641092,-3.8709502621799046,1.1350576579954668,-1.4073616338023982,-2.8601397737571927,3
7,-7.319793261007813,-10.15480184786946,8.527959069023366,2.9539670118257337,4.091646745374552,1
8,-6.30940139317032,-1.7050075146240435,-1.9189888815531528,-1.9352294479353824,-3.6521980166539763,3
9,-7.586481912033367,-7.664829124512261,7.754947276203244,1.6161135922803704,2.673920895163901,1
10,-10.15990698712643,9.520872857321578,7.119761183845454,-5.170541615978842,-5.701334257270575,2
11,-6.796529909879819,-3.806606778043712,0.8394045031816033,-0.5659573945219769,-4.358269508940129,3
12,-5.597555249681634,-3.956378691358398,-0.15212949690920452,-0.8930425516504201,-3.686121195148993,3
13,-6.815098490304025,-1.7442593187860478,0.10270971061949868,1.0279638733034573,-2.8082459544152467,3
14,-6.64219371045106,-8.919703777078446,6.862817545532046,-0.29761478935582364,4.72010820852587,1
15,-3.5222700275533136,8.967898970252534,4.281174660984996,3.5811771153807332,-5.463737254609697,0
16,-7.243336457531502,-8.046136993671864,6.853950365824845,1.7204265733059276,4.735278420847929,1
17,-6.220676621240615,-4.168521096228662,-0.20664735606475737,-1.3241061671431258,-5.527574170145403,3
18,-6.636770966488705,-2.855884913919569,0.2616255494170684,-2.1177169440163075,-4.184011233359797,3
19,-5.959206068509395,-9.013553208117992,8.278438807957285,1.578053790555338,4.289169771447232,1
20,-11.21570920169269,8.404397658064587,7.0600913285576095,-4.5127133118283425,-7.27648962933377,2
21,-2.3461394410307763,9.461573490289943,5.337912109372485,2.896653154667871,-7.261532575611527,0
22,3.038522863456815,-6.8897204214689465,-6.027288741717253,-1.7986682611207048,-0.8299701690032938,4
23,3.661557859181362,-7.765103034053871,-3.3163964365381413,-2.2683569280527296,-0.8942121578606419,4
24,-5.955208797540577,-3.6247797068919114,1.116794439416962,-1.2031611890036198,-5.955653918260582,3
25,-2.417570930080379,9.774402504997386,4.481516334973437,3.0269922653256804,-6.5585522895314385,0
